,,,,,
Theme: Economy & Prices,,,,,
Subject: Prices and Price Indices,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,
"Table Title: Consumer Price Index (CPI), 2024 As Base Year, Monthly",,,,,
,,,,,
Data last updated: 24/03/2025,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,
,,,,,
Data Series,All Items (Index),All Items -> Housing & Utilities (Index),All Items -> Housing & Utilities -> Accommodation (Index),All Items Less Accommodation (Index),All Items Less Imputed Rentals For Housing (Index)
  2025 Feb,100.7,101.2,101.5,100.4,100.7
  2025 Jan,99.9,98.5,98.5,100.4,99.7
  2024 Dec,100.7,101.3,101.5,100.4,100.7
  2024 Nov,100.4,101.3,101.4,100,100.3
  2024 Oct,100.1,99.7,99.6,100.3,100
  2024 Sep,100.6,101.2,101.2,100.4,100.7
  2024 Aug,100.4,101.1,101.2,100.1,100.4
  2024 Jul,99.8,99.5,99.3,100,99.7
  2024 Jun,100.1,100.5,100.5,99.9,100.1
  2024 May,100.2,100.4,100.4,100.1,100.3
  2024 Apr,99.4,98.1,97.9,100,99.3
  2024 Mar,99.7,100,100.1,99.6,99.8
  2024 Feb,99.8,99.8,99.9,99.7,99.9
  2024 Jan,98.8,97.1,96.9,99.4,98.6
  2023 Dec,99.2,99,99.4,99.1,99.3
  2023 Nov,98.8,98.7,99.1,98.7,98.9
  2023 Oct,99,97.1,97.3,99.4,99.1
  2023 Sep,98.8,98.1,98.6,98.8,98.9
  2023 Aug,98.3,97.9,98.3,98.3,98.4
  2023 Jul,97.4,96.1,96.4,97.7,97.4
  2023 Jun,97.6,97,97.4,97.7,97.8
  2023 May,97.2,96.7,97.1,97.2,97.3
  2023 Apr,96.9,94.3,94.4,97.6,97
  2023 Mar,96.8,96.4,96.5,96.9,97
  2023 Feb,96.3,96,96.1,96.4,96.5
  2023 Jan,95.8,94.6,94.6,96.1,95.9
  2022 Dec,95.6,95.3,95.4,95.6,95.8
  2022 Nov,95.4,95.1,95.2,95.5,95.6
  2022 Oct,94.5,93.5,93.4,94.8,94.5
  2022 Sep,94.9,94.6,94.6,94.9,95.1
  2022 Aug,94.4,94.3,94.2,94.5,94.6
  2022 Jul,93.6,92.5,92.2,93.9,93.7
  2022 Jun,93.4,93,93.2,93.5,93.6
  2022 May,92.5,92.7,92.8,92.4,92.6
  2022 Apr,91.6,90.2,90,92,91.6
  2022 Mar,91.7,91.6,92,91.6,91.8
  2022 Feb,90.6,91.2,91.7,90.3,90.5
  2022 Jan,89.8,89.8,90.1,89.7,89.7
  2021 Dec,89.8,90.4,91.1,89.4,89.7
  2021 Nov,89.4,90,90.8,89,89.3
  2021 Oct,88.5,88.3,89,88.4,88.3
  2021 Sep,88.2,89.1,90.1,87.7,88.1
  2021 Aug,87.9,89,90,87.3,87.7
  2021 Jul,87.4,87.4,88.1,87.2,87.1
  2021 Jun,87.6,88.4,89.4,87.1,87.4
