town,adj_factor_gnews,adj_factor_gtrend,adj_factor_econ
ANG MO KIO,-0.007629,0.005333,-0.016393
BEDOK,0.028787,0.011333,0.009332
BISHAN,0.014963,-0.029333,-0.01302
BUKIT BATOK,0.006536,0.002667,0.000256
BUKIT MERAH,-0.02144,-0.026667,0.001953
BUKIT PANJANG,-0.021442,-0.017333,-0.021103
BUKIT TIMAH,-0.02763,0.017333,0.028898
CENTRAL AREA,0.023444,-0.005333,0.016508
CHOA CHU KANG,0.006691,-0.019333,0.026981
CLEMENTI,0.013451,-0.028667,0.024134
GEYLANG,-0.03,0.028,0.005215
HOUGANG,0.03,0.008667,0.025858
JURONG EAST,0.021312,-0.022,-0.027243
JURONG WEST,-0.017881,-0.025333,-0.020394
KALLANG/WHAMPOA,-0.019809,0.028667,-0.03
MARINE PARADE,-0.019709,0.004,-0.012153
PASIR RIS,-0.012072,-0.03,-0.008116
PUNGGOL,0.001865,0.024667,-0.015592
QUEENSTOWN,-0.004001,0.03,0.019923
SEMBAWANG,-0.012895,0.008667,-0.01015
SENGKANG,0.00737,0.016,-0.014981
SERANGOON,-0.022485,-0.002,0.001697
TAMPINES,-0.012837,-0.026,-0.023902
TOA PAYOH,-0.008146,0.0,0.018232
WOODLANDS,-0.002476,-0.008,-0.028132
YISHUN,0.018324,0.020667,0.03
SELETAR,-0.018681,0.022667,0.016324
